Timestamp,H1,H2,H3,R1,R2,R3,R4,R5,R6,R7,L1,L2,L3,L4,L5,L6,L7,T1,T2,T3,Vx,Vz,Vr
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.017,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067,0.006120,-0.004691,-0.003071,-0.002383,-1.443369,-0.004500,0.011946,0.000242,-0.002103,-0.000173,-0.007506,-1.439873,-0.025721,0.008381,0.002904,0.000908,0.015701,0.001969,0.004783,-0.005067,0.002154,-0.069551,8.583380
0.084,0.006120,-0.004691,-0.003071,-0.002383,-1.443369,-0.004500,0.011946,0.000242,-0.002103,-0.000173,-0.007506,-1.439873,-0.025721,0.008381,0.002904,0.000908,0.015701,0.001969,0.004783,-0.005067,0.002154,-0.069551,8.583380
0.100,0.008678,-0.006465,-0.004210,-0.003485,-1.402964,-0.006196,0.017693,0.000209,-0.002930,-0.001420,-0.010700,-1.398595,-0.025387,0.012329,0.004161,0.001251,0.021529,0.002407,0.006860,-0.006604,0.002050,-0.096460,14.901280
0.117,0.025349,-0.017925,-0.011331,-0.011109,-1.163791,-0.016590,0.058646,-0.000365,-0.008249,-0.013750,-0.031847,-1.153580,-0.022784,0.040405,0.012396,0.003419,0.058091,0.003698,0.021547,-0.013268,0.000002,-0.159517,35.744210
0.134,0.038619,-0.027519,-0.016913,-0.017752,-1.024307,-0.024188,0.095578,-0.001156,-0.012417,-0.027626,-0.048877,-1.011573,-0.020284,0.065721,0.018896,0.005041,0.086795,0.002877,0.035299,-0.014074,-0.003098,-0.222106,62.387120
0.150,0.048320,-0.034812,-0.021026,-0.022715,-0.930224,-0.029546,0.123904,-0.001828,-0.015442,-0.038893,-0.061312,-0.916059,-0.018308,0.085164,0.023588,0.006212,0.107835,0.001642,0.046206,-0.014144,-0.004659,-0.245543,74.804040
0.167,0.069513,-0.051086,-0.030062,-0.033658,-0.717013,-0.041034,0.187242,-0.003399,-0.022020,-0.064714,-0.088440,-0.698783,-0.013820,0.128676,0.033759,0.008760,0.153903,-0.001776,0.071035,-0.013668,-0.006088,-0.262220,85.147930
0.184,0.089652,-0.066950,-0.038707,-0.044172,-0.543324,-0.051699,0.249141,-0.005011,-0.028236,-0.090665,-0.114173,-0.520835,-0.009354,0.171239,0.043333,0.011169,0.196214,-0.005866,0.095803,-0.012481,-0.008394,-0.011564,98.214100
0.200,0.100976,-0.078860,-0.044531,-0.051545,-0.431209,-0.054552,0.286917,-0.006386,-0.031425,-0.112408,-0.126712,-0.405147,-0.005645,0.200473,0.047810,0.012464,0.217334,-0.009780,0.116415,-0.010957,-0.009726,-0.012059,83.124020
0.217,0.102443,-0.082586,-0.045160,-0.052533,-0.337294,-0.054786,0.307280,-0.007830,-0.031730,-0.125049,-0.129627,-0.307336,-0.004139,0.213789,0.048173,0.012466,0.226053,-0.014186,0.127034,-0.009006,-0.010392,-0.012861,29.727180
0.234,0.102798,-0.084392,-0.045312,-0.052736,-0.225843,-0.054840,0.318322,-0.007834,-0.031796,-0.130803,-0.131019,-0.189468,-0.003727,0.219596,0.048257,0.012476,0.230023,-0.021233,0.131379,-0.005635,-0.003823,-0.002407,7.227406
0.251,0.102798,-0.084392,-0.045312,-0.052736,-0.225843,-0.054840,0.318322,-0.007834,-0.031796,-0.130803,-0.131019,-0.189468,-0.003727,0.219596,0.048257,0.012476,0.230023,-0.021233,0.131379,-0.005635,-0.003823,-0.002407,7.227406
0.267,0.102874,-0.084392,-0.045345,-0.052781,-0.208015,-0.054852,0.319090,-0.007837,-0.031810,-0.131239,-0.131142,-0.170371,-0.003640,0.220047,0.048276,0.012479,0.230023,-0.021827,0.131719,-0.004926,-0.002508,-0.002435,4.470363
0.284,0.102874,-0.084392,-0.045345,-0.052781,-0.208015,-0.054852,0.319090,-0.007837,-0.031810,-0.131239,-0.131142,-0.170371,-0.003640,0.220047,0.048276,0.012479,0.230023,-0.021827,0.131719,-0.004926,-0.002508,-0.002435,4.470363
0.301,0.103516,-0.084392,-0.045620,-0.053163,-0.151644,-0.054952,0.319090,-0.007867,-0.031932,-0.131239,-0.131142,-0.102927,-0.003309,0.220047,0.048430,0.012513,0.230023,-0.021827,0.131719,-0.002307,0.000000,0.000000,0.000000
0.317,0.103516,-0.084392,-0.045620,-0.053163,-0.151644,-0.054952,0.319090,-0.007867,-0.031932,-0.131239,-0.131142,-0.102927,-0.003309,0.220047,0.048430,0.012513,0.230023,-0.021827,0.131719,-0.002307,0.000000,0.000000,0.000000
0.334,0.103516,-0.084394,-0.045620,-0.053163,-0.120872,-0.054952,0.319090,-0.007905,-0.031932,-0.131239,-0.131142,-0.068118,-0.003143,0.220047,0.048430,0.012550,0.230030,-0.021827,0.131719,-0.000977,0.000000,0.000000,0.000000
0.351,0.103518,-0.084400,-0.045621,-0.053166,-0.098711,-0.054952,0.319143,-0.007966,-0.031933,-0.131269,-0.131150,-0.043410,-0.003025,0.220079,0.048431,0.012608,0.230052,-0.021867,0.131743,-0.000035,-0.000036,-0.000054,0.059478
0.367,0.103526,-0.084407,-0.045624,-0.053182,-0.090634,-0.054954,0.319227,-0.008000,-0.031937,-0.131318,-0.131163,-0.034514,-0.002982,0.220130,0.048434,0.012635,0.230075,-0.021929,0.131782,0.000307,-0.000081,-0.000122,0.133081
0.384,0.103529,-0.084410,-0.045626,-0.053189,-0.090262,-0.054955,0.319259,-0.008010,-0.031939,-0.131337,-0.131168,-0.033876,-0.002980,0.220150,0.048435,0.012637,0.230083,-0.021953,0.131796,0.000322,-0.000091,-0.000137,0.150088
0.401,0.103549,-0.084424,-0.045634,-0.053227,-0.089680,-0.054959,0.319445,-0.008062,-0.031949,-0.131445,-0.131196,-0.033506,-0.002977,0.220263,0.048442,0.012639,0.230130,-0.022091,0.131882,0.000348,-0.000118,-0.000177,0.193714
0.418,0.103567,-0.084436,-0.045642,-0.053263,-0.089597,-0.054963,0.319611,-0.008062,-0.031958,-0.131542,-0.131221,-0.033246,-0.002977,0.220364,0.048448,0.012640,0.230170,-0.022214,0.131958,0.000352,-0.000143,-0.000214,0.234612
0.434,0.103583,-0.084446,-0.045648,-0.053293,-0.089578,-0.054967,0.319751,-0.008062,-0.031966,-0.131623,-0.131243,-0.033246,-0.002977,0.220449,0.048454,0.012640,0.230203,-0.022318,0.132022,0.000352,-0.000155,-0.000232,0.254062
0.451,0.103604,-0.084451,-0.045657,-0.053335,-0.089578,-0.054972,0.319870,-0.008062,-0.031977,-0.131692,-0.131260,-0.033245,-0.002977,0.220521,0.048461,0.012640,0.230219,-0.022406,0.132077,0.000352,-0.000064,-0.000095,0.105112
0.468,0.103607,-0.084451,-0.045658,-0.053340,-0.089578,-0.054972,0.319915,-0.008063,-0.031978,-0.131718,-0.131267,-0.033245,-0.002977,0.220548,0.048462,0.012640,0.230220,-0.022440,0.132097,0.000352,-0.000011,-0.000016,0.018013
0.484,0.103607,-0.084451,-0.045658,-0.053340,-0.089578,-0.054972,0.319915,-0.008063,-0.031978,-0.131718,-0.131267,-0.033245,-0.002977,0.220548,0.048462,0.012640,0.230220,-0.022440,0.132097,0.000352,-0.000011,-0.000016,0.018013
0.501,0.103608,-0.084451,-0.045659,-0.053341,-0.089578,-0.054972,0.319917,-0.008063,-0.031978,-0.131720,-0.131268,-0.033244,-0.002977,0.220549,0.048462,0.012640,0.230220,-0.022441,0.132099,0.000352,-0.000006,-0.000009,0.010066
0.518,0.103608,-0.084451,-0.045659,-0.053341,-0.089578,-0.054972,0.319917,-0.008063,-0.031978,-0.131720,-0.131268,-0.033244,-0.002977,0.220549,0.048462,0.012640,0.230220,-0.022441,0.132099,0.000352,-0.000006,-0.000009,0.010066
0.534,0.103608,-0.084452,-0.045659,-0.053341,-0.089578,-0.054973,0.319917,-0.008064,-0.031978,-0.131720,-0.131268,-0.033242,-0.002977,0.220549,0.048462,0.012640,0.230221,-0.022441,0.132099,0.000353,0.000000,0.000000,0.000000
0.551,0.103608,-0.084452,-0.045659,-0.053341,-0.089578,-0.054973,0.319917,-0.008064,-0.031978,-0.131720,-0.131268,-0.033242,-0.002977,0.220549,0.048462,0.012640,0.230221,-0.022441,0.132099,0.000353,0.000000,0.000000,0.000000
0.568,0.103608,-0.084452,-0.045659,-0.053341,-0.089578,-0.054973,0.319917,-0.008065,-0.031978,-0.131720,-0.131268,-0.033240,-0.002977,0.220549,0.048463,0.012640,0.230222,-0.022441,0.132099,0.000353,0.000000,0.000000,0.000000
0.585,0.103608,-0.084453,-0.045659,-0.053341,-0.089578,-0.054973,0.319917,-0.008065,-0.031979,-0.131720,-0.131268,-0.033237,-0.002977,0.220549,0.048463,0.012640,0.230224,-0.022441,0.132099,0.000353,0.000000,0.000000,0.000168
0.601,0.103608,-0.084453,-0.045659,-0.053342,-0.089578,-0.054973,0.319918,-0.008065,-0.031979,-0.131720,-0.131268,-0.033237,-0.002977,0.220550,0.048463,0.012640,0.230225,-0.022442,0.132099,0.000353,0.000000,0.000000,0.000372
0.618,0.103608,-0.084453,-0.045659,-0.053342,-0.089578,-0.054973,0.319918,-0.008065,-0.031979,-0.131720,-0.131268,-0.033237,-0.002977,0.220550,0.048463,0.012640,0.230225,-0.022442,0.132099,0.000353,0.000000,0.000000,0.000419
0.635,0.103608,-0.084453,-0.045659,-0.053343,-0.089578,-0.054973,0.319918,-0.008065,-0.031979,-0.131720,-0.131268,-0.033237,-0.002977,0.220550,0.048463,0.012640,0.230226,-0.022442,0.132099,0.000353,0.000000,0.000000,0.000536
0.651,0.103609,-0.084453,-0.045658,-0.053344,-0.089578,-0.054973,0.319919,-0.008065,-0.031979,-0.131721,-0.131268,-0.033237,-0.002977,0.220550,0.048463,0.012640,0.230226,-0.022442,0.132099,0.000353,0.000000,0.000000,0.000643
0.668,0.103609,-0.084453,-0.045658,-0.053344,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132099,0.000353,0.000000,0.000000,0.000690
0.685,0.103609,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000000
0.701,0.103610,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000003
0.718,0.103610,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000003
0.735,0.103610,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000005
0.752,0.103610,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000005
0.768,0.103610,-0.084453,-0.045658,-0.053345,-0.089578,-0.054973,0.319919,-0.008065,-0.031980,-0.131721,-0.131268,-0.033237,-0.002977,0.220551,0.048463,0.012640,0.230226,-0.022443,0.132100,0.000353,0.000000,0.000000,0.000005
0.785,0.103586,-0.084431,-0.045639,-0.053301,-0.089638,-0.054979,0.319956,-0.008081,-0.031990,-0.131701,-0.131235,-0.033286,-0.002989,0.220599,0.048442,0.012614,0.230174,-0.022463,0.132077,0.000385,0.000142,0.001770,-0.107716
