Timestamp,H1,H2,H3,R1,R2,R3,R4,R5,R6,R7,L1,L2,L3,L4,L5,L6,L7,T1,T2,T3,x,z,r
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.017,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050,0.000000,0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.570796,-0.026180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.067,-0.000384,-0.000400,-0.000519,0.000490,-1.548086,-0.000229,0.000225,0.001029,-0.010601,-0.000125,-0.001733,-1.544779,-0.027082,0.000000,-0.000785,0.006637,0.001006,0.000563,0.000848,-0.000899,-0.000418,-0.000704,0.012952
0.084,0.001885,-0.002386,-0.002486,0.001602,-1.462130,-0.002696,0.003095,0.002573,-0.017669,-0.000259,-0.007122,-1.452321,-0.028203,0.000860,-0.000690,0.013260,0.006891,0.002419,0.003479,-0.004820,-0.001050,-0.002971,0.166329
0.100,0.008476,-0.006310,-0.005748,0.002200,-1.331079,-0.007812,0.013581,0.003411,-0.025239,-0.003676,-0.016876,-1.313295,-0.028309,0.006283,0.001637,0.013260,0.018309,0.004683,0.008478,-0.010779,-0.001250,-0.006349,0.550717
0.117,0.013548,-0.009404,-0.007959,0.001309,-1.255657,-0.011309,0.024068,0.003576,-0.028562,-0.007509,-0.023706,-1.234562,-0.027886,0.012501,0.003876,0.013260,0.027567,0.005558,0.012564,-0.013859,-0.001307,-0.008345,0.872455
0.134,0.021208,-0.014155,-0.011196,-0.000610,-1.144595,-0.016397,0.041018,0.003638,-0.030181,-0.013835,-0.033751,-1.118958,-0.027044,0.022829,0.007411,0.013258,0.041810,0.006473,0.018943,-0.017809,-0.001359,-0.011114,1.374016
0.150,0.029269,-0.019373,-0.014578,-0.003148,-1.029722,-0.021571,0.060149,0.003559,-0.030181,-0.021137,-0.044182,-0.999581,-0.026002,0.034786,0.011222,0.013232,0.057218,0.006970,0.026111,-0.021192,-0.001390,-0.013820,1.927687
0.167,0.044277,-0.029508,-0.020825,-0.008902,-0.821304,-0.030813,0.098504,0.003126,-0.030242,-0.036114,-0.063298,-0.783916,-0.023722,0.059357,0.018507,0.013157,0.086801,0.006910,0.040484,-0.025854,-0.001410,-0.018440,3.015709
0.184,0.053631,-0.036014,-0.024702,-0.012913,-0.693043,-0.036401,0.123548,0.002740,-0.030305,-0.046035,-0.075085,-0.651322,-0.022157,0.075638,0.023122,0.013096,0.105616,0.006449,0.049887,-0.028063,-0.001408,-0.021141,3.718221
0.200,0.072119,-0.049237,-0.032351,-0.021540,-0.494281,-0.047149,0.175042,0.001754,-0.030463,-0.066660,-0.098155,-0.445746,-0.018813,0.109509,0.032365,0.012960,0.143485,0.004789,0.069318,-0.031206,-0.001379,-0.026186,5.151708
0.217,0.082226,-0.056642,-0.036525,-0.026593,-0.409276,-0.052882,0.204157,0.001108,-0.030566,-0.078427,-0.110659,-0.358038,-0.016863,0.128845,0.037477,0.012877,0.164518,0.003518,0.080352,-0.032334,-0.001351,-0.026186,5.957200
0.234,0.097800,-0.070655,-0.042836,-0.036501,-0.283644,-0.055639,0.259695,-0.000260,-0.030784,-0.101035,-0.126748,-0.228886,-0.013054,0.166013,0.047052,0.012710,0.204055,0.000581,0.101469,-0.033485,-0.001281,-0.026189,7.485881
0.251,0.100482,-0.078554,-0.043800,-0.042285,-0.230250,-0.056356,0.282184,-0.001116,-0.030920,-0.113972,-0.128780,-0.174298,-0.010839,0.187292,0.049008,0.012610,0.215015,-0.001379,0.113508,-0.033569,-0.001231,-0.026199,8.060827
0.267,0.102739,-0.079819,-0.044935,-0.051410,-0.157337,-0.056360,0.306486,-0.002829,-0.031190,-0.125974,-0.130279,-0.100283,-0.006632,0.207229,0.050446,0.012419,0.223662,-0.005545,0.124018,-0.032754,-0.001122,-0.026219,8.739862
0.284,0.103019,-0.080580,-0.045009,-0.052932,-0.130960,-0.056371,0.312596,-0.003846,-0.031356,-0.128291,-0.130470,-0.073779,-0.006632,0.211303,0.050446,0.012307,0.225382,-0.008143,0.126300,-0.031711,-0.001054,-0.026232,8.741729
0.301,0.103335,-0.081997,-0.045149,-0.054174,-0.103298,-0.056400,0.317318,-0.005712,-0.031530,-0.130226,-0.130696,-0.046358,-0.006625,0.214633,0.050458,0.012109,0.226692,-0.013117,0.128215,-0.028891,-0.000923,-0.026244,8.751272
0.317,0.103517,-0.082817,-0.045233,-0.054383,-0.096580,-0.056420,0.318213,-0.005712,-0.031564,-0.130666,-0.130696,-0.039828,-0.006610,0.215381,0.050472,0.012002,0.226938,-0.016058,0.128698,-0.026812,-0.000846,-0.026243,8.760155
0.334,0.103517,-0.083003,-0.045388,-0.054541,-0.091636,-0.056461,0.318860,-0.005726,-0.031628,-0.130986,-0.130698,-0.035043,-0.006562,0.215925,0.050508,0.011825,0.227116,-0.019533,0.129063,-0.022299,-0.000704,-0.026239,8.782134
0.351,0.103517,-0.083003,-0.045388,-0.054541,-0.091636,-0.056461,0.318860,-0.005726,-0.031628,-0.130986,-0.130698,-0.035043,-0.006562,0.215925,0.050508,0.011825,0.227116,-0.019533,0.129063,-0.022299,-0.000704,-0.026239,8.782134
0.367,0.103517,-0.083104,-0.045429,-0.054580,-0.090405,-0.056543,0.319024,-0.005786,-0.031667,-0.131066,-0.130706,-0.033852,-0.006428,0.216061,0.050599,0.011552,0.227160,-0.020398,0.129067,-0.012490,-0.000704,-0.026227,8.835362
0.384,0.103519,-0.083110,-0.045441,-0.054587,-0.090251,-0.056543,0.319060,-0.005817,-0.031671,-0.131080,-0.130709,-0.033700,-0.006368,0.216082,0.050637,0.011480,0.227169,-0.020513,0.129079,-0.008827,-0.000704,-0.026221,8.856974
0.401,0.103531,-0.083155,-0.045480,-0.054605,-0.090244,-0.056541,0.319215,-0.005921,-0.031709,-0.131139,-0.130705,-0.033303,-0.006186,0.216162,0.050739,0.011367,0.227223,-0.020839,0.129166,-0.000319,-0.000705,-0.026203,8.918178
0.418,0.103546,-0.083213,-0.045505,-0.054615,-0.090234,-0.056538,0.319359,-0.005998,-0.031760,-0.131194,-0.130693,-0.033303,-0.006067,0.216230,0.050794,0.011396,0.227283,-0.021029,0.129272,-0.000057,-0.000708,-0.026189,8.953439
0.434,0.103575,-0.083327,-0.045542,-0.054619,-0.090214,-0.056532,0.319616,-0.006123,-0.031861,-0.131291,-0.130664,-0.033302,-0.005887,0.216346,0.050800,0.011533,0.227396,-0.021183,0.129476,-0.000047,-0.000713,-0.026166,8.979939
0.451,0.103604,-0.083443,-0.045545,-0.054619,-0.090193,-0.056526,0.319866,-0.006199,-0.031965,-0.131386,-0.130632,-0.033301,-0.005862,0.216457,0.050800,0.011723,0.227510,-0.021183,0.129685,-0.000047,-0.000719,-0.026152,8.980300
0.468,0.103625,-0.083528,-0.045545,-0.054619,-0.090174,-0.056519,0.319951,-0.006199,-0.032051,-0.131419,-0.130595,-0.033299,-0.005861,0.216472,0.050800,0.011966,0.227582,-0.021184,0.129837,-0.000047,-0.000724,-0.026151,8.980305
0.484,0.103625,-0.083529,-0.045545,-0.054620,-0.090173,-0.056519,0.319952,-0.006200,-0.032055,-0.131419,-0.130589,-0.033297,-0.005860,0.216473,0.050800,0.012254,0.227584,-0.021185,0.129838,-0.000047,-0.000724,-0.026151,8.980306
0.501,0.103625,-0.083530,-0.045545,-0.054620,-0.090173,-0.056519,0.319953,-0.006202,-0.032055,-0.131420,-0.130589,-0.033296,-0.005859,0.216473,0.050800,0.012254,0.227584,-0.021186,0.129839,-0.000046,-0.000724,-0.026151,8.980306
0.518,0.103625,-0.083533,-0.045545,-0.054620,-0.090173,-0.056519,0.319954,-0.006205,-0.032055,-0.131422,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012255,0.227584,-0.021187,0.129842,-0.000046,-0.000724,-0.026151,8.980305
0.534,0.103625,-0.083536,-0.045545,-0.054620,-0.090173,-0.056519,0.319956,-0.006207,-0.032055,-0.131424,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012257,0.227584,-0.021187,0.129844,-0.000046,-0.000724,-0.026151,8.980304
0.551,0.103626,-0.083538,-0.045545,-0.054620,-0.090173,-0.056519,0.319956,-0.006207,-0.032055,-0.131425,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012258,0.227584,-0.021187,0.129847,-0.000046,-0.000724,-0.026151,8.980301
0.568,0.103626,-0.083538,-0.045545,-0.054620,-0.090173,-0.056519,0.319956,-0.006207,-0.032055,-0.131425,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012261,0.227584,-0.021187,0.129847,-0.000046,-0.000724,-0.026151,8.980296
0.585,0.103626,-0.083538,-0.045545,-0.054620,-0.090173,-0.056519,0.319956,-0.006207,-0.032055,-0.131426,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012261,0.227584,-0.021187,0.129847,-0.000046,-0.000724,-0.026151,8.980291
0.601,0.103626,-0.083538,-0.045545,-0.054619,-0.090173,-0.056519,0.319957,-0.006207,-0.032055,-0.131430,-0.130588,-0.033296,-0.005857,0.216473,0.050800,0.012261,0.227584,-0.021188,0.129847,-0.000045,-0.000724,-0.026151,8.980279
0.618,0.103626,-0.083539,-0.045546,-0.054619,-0.090173,-0.056518,0.319957,-0.006207,-0.032054,-0.131438,-0.130589,-0.033295,-0.005857,0.216473,0.050800,0.012262,0.227584,-0.021188,0.129846,-0.000045,-0.000724,-0.026151,8.980264
0.635,0.103627,-0.083539,-0.045546,-0.054619,-0.090173,-0.056518,0.319957,-0.006207,-0.032053,-0.131446,-0.130589,-0.033294,-0.005857,0.216474,0.050799,0.012263,0.227584,-0.021189,0.129846,-0.000044,-0.000724,-0.026151,8.980247
0.651,0.103628,-0.083540,-0.045546,-0.054618,-0.090173,-0.056518,0.319958,-0.006207,-0.032052,-0.131458,-0.130590,-0.033293,-0.005858,0.216474,0.050799,0.012264,0.227584,-0.021190,0.129846,-0.000044,-0.000724,-0.026150,8.980234
0.668,0.103628,-0.083540,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131458,-0.130591,-0.033293,-0.005858,0.216474,0.050799,0.012264,0.227584,-0.021190,0.129846,-0.000044,-0.000724,-0.026150,8.980233
0.685,0.103628,-0.083540,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131458,-0.130591,-0.033293,-0.005858,0.216474,0.050799,0.012264,0.227584,-0.021190,0.129846,-0.000044,-0.000724,-0.026150,8.980233
0.701,0.103628,-0.083540,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131458,-0.130591,-0.033293,-0.005858,0.216474,0.050799,0.012264,0.227584,-0.021190,0.129846,-0.000044,-0.000724,-0.026150,8.980232
0.718,0.103628,-0.083540,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131459,-0.130591,-0.033293,-0.005858,0.216474,0.050799,0.012264,0.227584,-0.021190,0.129846,-0.000043,-0.000724,-0.026150,8.980230
0.735,0.103628,-0.083540,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131463,-0.130591,-0.033293,-0.005858,0.216474,0.050801,0.012265,0.227584,-0.021191,0.129846,-0.000043,-0.000724,-0.026150,8.980220
0.752,0.103628,-0.083541,-0.045546,-0.054618,-0.090174,-0.056517,0.319958,-0.006207,-0.032052,-0.131469,-0.130591,-0.033293,-0.005858,0.216475,0.050804,0.012265,0.227584,-0.021191,0.129845,-0.000043,-0.000724,-0.026150,8.980205
0.768,0.103629,-0.083541,-0.045547,-0.054618,-0.090175,-0.056517,0.319959,-0.006207,-0.032051,-0.131488,-0.130591,-0.033292,-0.005858,0.216475,0.050808,0.012266,0.227584,-0.021192,0.129845,-0.000042,-0.000723,-0.026150,8.980175
0.785,0.103631,-0.083542,-0.045547,-0.054617,-0.090175,-0.056516,0.319959,-0.006207,-0.032049,-0.131522,-0.130592,-0.033291,-0.005857,0.216476,0.050812,0.012267,0.227584,-0.021194,0.129845,-0.000040,-0.000723,-0.026149,8.980132
